City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,bethel,41.3712,-73.414,4.72,60,100,1.54,US,1699505141
133,miri,4.4148,114.0089,30.08,70,40,2.57,MY,1699505236
134,cabedelo,-6.9811,-34.8339,24.37,73,23,5.92,BR,1699505236
135,nadi,-17.8,177.4167,27.0,78,75,3.09,FJ,1699505236
136,khetri,27.9833,75.8,28.54,23,5,2.62,IN,1699505236
137,urangan,-25.3,152.9,24.13,54,0,6.34,AU,1699505237
138,turpan,42.9333,89.1667,13.3,16,39,0.88,CN,1699505237
139,bikenibeu village,1.3673,173.1241,29.5,72,61,2.55,KI,1699505237
140,taltal,-25.4,-70.4833,15.27,86,43,1.51,CL,1699505237
141,bubaque,11.2833,-15.8333,28.8,66,38,4.96,GW,1699505238
142,crane,31.3974,-102.3501,23.46,41,96,2.81,US,1699505238
143,alice springs,-23.7,133.8833,30.75,23,80,2.57,AU,1699505238
144,dunedin,-45.8742,170.5036,9.86,68,69,6.21,NZ,1699505239
145,carnarvon,-24.8667,113.6333,24.24,60,1,8.46,AU,1699505239
146,sorong,-0.8833,131.25,29.27,69,61,4.03,ID,1699505239
147,dauphin,51.1494,-100.0502,-0.92,100,100,5.14,CA,1699505239
148,fort st. john,56.2499,-120.8529,1.94,69,20,4.12,CA,1699505106
149,gaiman,-43.2897,-65.4929,11.11,57,0,3.06,AR,1699505240
150,taoudenni,22.6783,-3.9836,19.9,33,0,2.23,ML,1699505240
151,thunder bay,48.4001,-89.3168,1.99,100,100,1.03,CA,1699505240
152,flin flon,54.7682,-101.865,-2.01,97,97,2.54,CA,1699505240
153,whitehorse,60.7161,-135.0538,4.43,70,100,7.72,CA,1699505241
154,tromso,69.6496,18.957,-3.99,86,0,0.0,NO,1699504955
155,stanley,54.868,-1.6985,5.4,95,73,0.51,GB,1699505241
156,touros,-5.1989,-35.4608,25.7,73,6,7.09,BR,1699505241
157,christchurch,-43.5333,172.6333,14.39,60,75,5.66,NZ,1699505027
158,kakonko,-3.2828,30.9642,19.42,89,100,0.67,TZ,1699505241
159,aasiaat,68.7098,-52.8699,-3.31,80,100,2.83,GL,1699505242
160,hamilton,39.1834,-84.5333,23.69,64,100,7.2,US,1699504905
161,heroica guaymas,27.9333,-110.9,23.82,47,99,2.33,MX,1699505242
162,newman,37.3138,-121.0208,11.83,36,0,1.85,US,1699505242
163,minas de marcona,-15.2119,-75.1103,14.01,86,66,2.8,PE,1699505243
164,nicoya,10.1483,-85.452,23.93,92,93,0.79,CR,1699505243
165,turaif,31.6725,38.6637,12.14,47,0,2.57,SA,1699505243
166,coquimbo,-29.9533,-71.3436,14.85,88,20,3.09,CL,1699504996
167,olinda,-8.0089,-34.8553,26.85,74,40,5.66,BR,1699505244
168,vila do maio,15.1333,-23.2167,24.44,66,100,7.87,CV,1699505244
169,sheregesh,52.9209,87.9869,-0.02,96,100,1.59,RU,1699505144
170,klyuchi,52.2667,79.1667,4.44,42,24,4.39,RU,1699505244
171,songea,-10.6833,35.65,22.2,71,65,3.34,TZ,1699505244
172,kavaratti,10.5669,72.642,28.77,67,100,2.48,IN,1699505245
173,lianyuan,27.6883,111.6642,19.62,96,100,0.43,CN,1699505245
174,lihue,21.9789,-159.3672,25.77,77,100,5.66,US,1699505245
175,tevriz,57.509,72.4042,1.04,68,71,2.77,RU,1699505246
176,shyshaky,49.8817,34.0112,6.72,86,99,6.61,UA,1699505246
177,kasongo,-4.45,26.6667,20.35,98,100,1.24,CD,1699505246
178,mahajanga,-15.7167,46.3167,29.01,70,20,2.57,MG,1699505246
179,choyr,46.3611,108.3611,-13.47,73,9,6.69,MN,1699505246
180,bamboo flat,11.7,92.7167,31.05,66,20,3.6,IN,1699505247
181,sandnessjoen,66.0217,12.6316,3.06,65,40,2.06,NO,1699505247
182,yankton,42.8711,-97.3973,3.95,52,0,3.09,US,1699505247
183,enewetak,11.3474,162.3373,28.5,74,79,8.85,MH,1699505248
184,san andres,12.5847,-81.7006,29.01,79,20,3.6,CO,1699505248
185,ola,59.5833,151.2833,-14.89,71,6,4.0,RU,1699505248
186,bilibino,68.0546,166.4372,-16.84,96,100,1.54,RU,1699505248
187,mount isa,-20.7333,139.5,34.87,31,72,3.09,AU,1699505249
188,gilmer,32.7287,-94.9424,22.1,78,0,2.06,US,1699505249
189,new norfolk,-42.7826,147.0587,22.62,43,18,2.75,AU,1699505249
190,kone,-21.0595,164.8658,23.92,57,67,5.01,NC,1699505249
191,wailua homesteads,22.0669,-159.378,25.44,82,100,5.66,US,1699505250
192,laguna,38.421,-121.4238,13.51,63,0,1.54,US,1699505250
193,plastun,44.7561,136.2939,1.95,98,100,1.55,RU,1699505250
194,kattivakkam,13.2167,80.3167,28.93,86,100,3.46,IN,1699505251
195,villanueva,15.3167,-88.0,24.55,94,100,1.54,HN,1699505251
196,mata-utu,-13.2816,-176.1745,28.0,79,100,3.78,WF,1699505251
197,taroa,8.7058,171.2275,27.94,81,100,9.93,MH,1699505251
198,pangody,65.85,74.4859,-1.74,82,100,7.87,RU,1699505251
199,gilgit,35.9221,74.3087,13.36,51,100,0.87,PK,1699505071
200,jurm,36.8648,70.8342,6.75,99,100,2.65,AF,1699505252
201,benjamin constant,-4.3831,-70.0311,24.07,96,37,0.81,BR,1699505252
202,artemovskiy,57.3555,61.8686,1.88,98,100,2.47,RU,1699505252
203,viedma,-40.8135,-62.9967,8.8,65,0,4.03,AR,1699505253
204,aleg,17.0481,-13.9209,22.56,23,75,4.37,MR,1699505253
205,college,64.8569,-147.8028,0.18,71,75,3.6,US,1699505253
206,serhiyivka,46.0272,30.3768,11.17,74,83,7.22,UA,1699505253
207,taylor,32.3001,-99.8337,23.7,52,75,7.72,US,1699505254
208,samdrup jongkhar,26.9167,91.6167,22.29,50,6,2.28,BT,1699505254
209,kill devil hills,36.0307,-75.676,17.21,87,0,2.57,US,1699505254
210,borogontsy,62.6683,131.1683,-22.15,92,94,0.2,RU,1699505254
211,vigia,-0.8583,-48.1417,25.55,84,72,3.54,BR,1699505255
212,palora,-1.7,-77.9333,18.7,96,76,1.47,EC,1699505255
213,kapuskasing,49.4169,-82.4331,-2.95,93,100,4.63,CA,1699505255
214,kenai,60.5544,-151.2583,1.75,98,100,0.0,US,1699505255
215,gediz,39.0417,29.41,12.22,66,56,0.67,TR,1699505255
216,vorgashor,67.5833,63.95,-1.22,99,100,2.09,RU,1699505256
217,souillac,-20.5167,57.5167,23.21,94,40,3.09,MU,1699505256
218,saint-pierre,-21.3393,55.4781,28.65,69,0,2.06,RE,1699505256
219,dolisie,-4.1997,12.6739,22.64,97,99,0.87,CG,1699505256
220,pisco,-13.7,-76.2167,18.34,88,75,3.6,PE,1699505257
221,kimbe,-5.5502,150.1429,29.88,63,99,3.84,PG,1699505257
222,macas,-2.3167,-78.1167,19.47,91,20,1.41,EC,1699505054
223,okahandja,-21.9833,16.9167,22.63,16,0,2.14,NA,1699505257
224,dorado,18.4588,-66.2677,28.31,98,93,0.45,PR,1699505257
225,pointe-noire,-4.7761,11.8635,24.04,100,75,1.03,CG,1699505258
226,waspan,14.7419,-83.9717,23.5,97,100,1.26,NI,1699505258
227,fortaleza,-3.7227,-38.5247,29.48,63,75,7.2,BR,1699505258
228,parabel',58.6978,81.4825,-2.27,90,95,4.92,RU,1699505258
229,bakchar,57.0186,82.0711,-2.18,87,74,3.26,RU,1699505258
230,saudarkrokur,65.7461,-19.6394,0.22,86,11,2.12,IS,1699505259
231,blagoveshchensk,50.2667,127.5333,-5.66,63,0,0.0,RU,1699505259
232,kodiak,57.79,-152.4072,3.73,70,75,5.14,US,1699505259
233,buala,-8.145,159.5921,28.16,81,76,4.36,SB,1699505259
234,constitucion,-35.3333,-72.4167,12.4,80,64,4.02,CL,1699505260
235,ciudad acuna,29.3232,-100.9522,23.16,73,0,1.54,MX,1699505260
236,yantzaza,-3.8278,-78.7594,19.4,98,61,0.45,EC,1699505260
237,badger,64.8,-147.5333,0.14,72,100,3.6,US,1699505260
238,usogorsk,63.4106,48.6872,0.37,96,97,3.54,RU,1699505260
239,sao joao da barra,-21.6403,-41.0511,21.99,80,2,7.36,BR,1699505261
240,uturoa,-16.7333,-151.4333,25.99,79,28,9.74,PF,1699505261
241,haiku-pauwela,20.9219,-156.3051,26.01,69,20,4.63,US,1699505261
242,pontes e lacerda,-15.2261,-59.3353,28.01,53,94,1.44,BR,1699505261
243,valle de la pascua,9.2155,-66.0073,24.06,88,72,1.78,VE,1699505262
244,kushiro,42.975,144.3747,11.53,76,75,7.72,JP,1699505262
245,businga,3.3333,20.8833,22.55,97,80,0.47,CD,1699505262
246,koundara,12.4833,-13.3,22.87,47,99,0.71,GN,1699505262
247,callao,-12.0667,-77.15,20.4,77,100,3.09,PE,1699505262
248,fort beaufort,-32.7748,26.6338,15.29,77,70,0.51,ZA,1699505262
249,pierre,44.3683,-100.351,3.25,55,40,4.63,US,1699505263
250,yolbasi,37.3889,41.3171,14.85,45,21,0.79,TR,1699505263
251,n'zeto,-7.2312,12.8666,25.54,88,99,2.95,AO,1699505263
252,krasnyy oktyabr',56.1167,38.8833,3.52,94,100,0.3,RU,1699505263
253,prieska,-29.6641,22.7474,21.24,32,0,2.78,ZA,1699505264
254,hilo,19.7297,-155.09,25.05,85,100,0.0,US,1699505264
255,leava,-14.3,-178.1667,27.26,87,73,7.63,WF,1699505264
256,piti village,13.4626,144.6933,32.49,77,40,9.26,GU,1699505264
257,dryden,49.7833,-92.7503,0.16,93,100,4.63,CA,1699504999
258,puerto ayora,-0.7393,-90.3518,24.75,93,91,3.58,EC,1699505264
259,balurghat,25.2167,88.7667,27.38,48,26,1.03,IN,1699505265
260,afaahiti,-17.75,-149.2833,24.93,86,89,9.98,PF,1699505265
261,guarapari,-20.6667,-40.4975,19.81,84,1,4.23,BR,1699505265
262,andkhoy,36.9529,65.1238,14.11,44,12,2.0,AF,1699505265
263,nhamunda,-2.1861,-56.7131,24.9,74,43,0.88,BR,1699505265
264,yinchuan,38.4681,106.2731,3.72,18,14,3.5,CN,1699505265
265,tsagan aman,47.5639,46.7218,9.73,62,99,5.68,RU,1699505266
266,belluru,12.9911,76.7444,24.25,78,98,3.11,IN,1699505266
267,rio gallegos,-51.6226,-69.2181,4.03,70,0,4.12,AR,1699505266
268,namibe,-15.1961,12.1522,18.48,89,1,1.19,AO,1699505266
269,st. john's,47.5649,-52.7093,7.86,99,100,1.54,CA,1699505007
270,susuman,62.7833,148.1667,-27.17,97,79,0.89,RU,1699505267
271,arish,31.1316,33.7984,22.05,79,0,1.21,EG,1699505267
272,klaksvik,62.2266,-6.589,7.51,86,100,10.19,FO,1699505267
273,hassi messaoud,31.6804,6.0729,16.92,88,59,4.63,DZ,1699505267
274,weno,7.4515,151.8468,28.97,84,100,4.12,FM,1699505267
275,ylitornio,66.3089,23.6773,-3.58,98,100,1.45,FI,1699505268
276,santa cruz,-17.8,-63.1667,28.7,74,100,4.12,BO,1699505268
277,talnakh,69.4865,88.3972,-5.44,94,100,8.01,RU,1699505269
278,intendente alvear,-35.2338,-63.592,13.53,37,1,3.3,AR,1699505269
279,jingdezhen,29.2947,117.2079,18.67,96,100,0.51,CN,1699505241
280,riverton,40.5219,-111.9391,4.47,74,0,1.34,US,1699505270
281,tazovsky,67.4667,78.7,-2.12,90,100,8.04,RU,1699505270
282,port mathurin,-19.6833,63.4167,25.11,70,3,7.74,MU,1699505270
283,bankim,6.083,11.4905,19.91,93,74,0.51,CM,1699505270
284,anna regina,7.2644,-58.5077,26.33,88,78,3.92,GY,1699505270
285,vidyayevo,69.3191,32.8049,-9.39,91,57,1.64,RU,1699505270
286,plouzane,48.3833,-4.6167,11.03,82,75,8.23,FR,1699505271
287,tegal,-6.8694,109.1402,32.16,56,100,3.23,ID,1699505240
288,mozarlandia,-14.7447,-50.5706,24.57,67,5,1.77,BR,1699505271
289,kolwezi,-10.7148,25.4667,17.11,94,100,2.14,CD,1699505110
290,grand-bassam,5.2118,-3.7388,24.98,88,100,2.65,CI,1699505271
291,isiro,2.7739,27.616,20.63,91,99,1.16,CD,1699505271
292,luwuk,-0.9516,122.7875,30.4,70,39,3.14,ID,1699505271
293,coahuayana de hidalgo,18.7,-103.6583,25.28,89,22,1.13,MX,1699505272
294,la ronge,55.1001,-105.2842,0.14,93,100,3.09,CA,1699505272
295,sechura,-5.5569,-80.8222,19.63,80,50,6.08,PE,1699505272
296,shiwan,22.9969,113.0799,27.71,55,77,3.34,CN,1699505272
297,malango,-2.9627,119.9001,30.41,45,46,2.42,ID,1699505272
298,san antonio de pale,-1.4014,5.6325,25.71,77,69,3.36,GQ,1699505272
299,kasungu,-13.0333,33.4833,24.97,53,45,4.89,MW,1699505273
300,big spring,32.2504,-101.4787,19.57,47,56,8.75,US,1699505273
301,adam,22.3756,57.5233,25.74,57,0,1.04,OM,1699505273
302,kota bharu,6.1333,102.2386,26.97,89,20,1.03,MY,1699505273
303,pali,25.7667,73.3333,30.35,25,26,1.95,IN,1699505273
304,inongo,-1.95,18.2667,22.19,93,100,1.84,CD,1699505274
305,aksu,41.1231,80.2644,12.3,24,90,0.64,CN,1699505274
306,castlebar,53.85,-9.3,7.55,77,99,7.31,IE,1699505274
307,nuriootpa,-34.4833,139.0,31.32,16,0,6.75,AU,1699505274
308,bintulu,3.1667,113.0333,30.23,79,40,2.06,MY,1699505274
309,siyabuswa,-25.1132,29.0445,19.34,64,0,3.05,ZA,1699505274
310,yeppoon,-23.1333,150.7333,28.88,55,1,6.92,AU,1699505275
311,kerch,45.3583,36.4758,12.53,87,100,11.18,UA,1699505275
312,felege neway,6.3,36.8833,17.14,79,21,1.04,ET,1699505275
313,tazacorte,28.629,-17.9293,20.54,78,100,5.66,ES,1699505275
314,buka,40.8108,69.1986,13.78,57,75,3.91,UZ,1699505275
315,kuala belait,4.5833,114.1833,30.09,66,100,2.1,BN,1699505276
316,inarajan village,13.2736,144.7484,32.54,90,67,8.06,GU,1699505276
317,lospalos,-8.5186,127.0025,34.04,29,3,3.82,TL,1699505105
318,chonchi,-42.6128,-73.8092,7.56,98,76,0.92,CL,1699505276
319,kupang,-10.1667,123.5833,33.32,62,20,6.69,ID,1699505276
320,uliastay,47.7417,96.8444,-8.48,89,100,0.81,MN,1699505276
321,westport,41.1415,-73.3579,6.02,56,100,3.6,US,1699505108
322,naliya,23.2667,68.8333,29.55,42,42,2.14,IN,1699505277
323,fuglafjordur,62.244,-6.814,7.26,88,99,9.18,FO,1699505277
324,swakopmund,-22.6833,14.5333,13.47,89,5,0.89,NA,1699505277
325,msaken,35.7292,10.5808,18.7,59,20,2.06,TN,1699505277
326,nosy varika,-20.5833,48.5333,26.05,73,70,3.92,MG,1699505277
327,nemuro,43.3236,145.575,10.78,68,91,8.74,JP,1699505277
328,necochea,-38.5473,-58.7368,9.4,79,0,3.21,AR,1699505278
329,nova sintra,14.8667,-24.7167,22.8,66,94,5.44,CV,1699505278
330,kurumkan,54.3,110.3,-8.26,69,56,0.89,RU,1699505278
331,port saint john's,-31.6229,29.5448,18.93,82,100,3.23,ZA,1699505278
332,horta,38.5333,-28.6333,19.45,98,98,5.36,PT,1699505234
333,hithadhoo,-0.6,73.0833,27.61,79,73,6.06,MV,1699505278
334,quellon,-43.1167,-73.6167,6.63,87,65,2.04,CL,1699505279
335,la passe,45.5549,-0.8967,11.66,82,84,6.07,FR,1699505279
336,port augusta,-32.5,137.7667,32.98,20,0,5.8,AU,1699505170
337,suva,-18.1416,178.4415,25.71,78,75,5.14,FJ,1699505015
338,lata,40.1629,-8.3327,11.71,93,100,1.18,PT,1699505279
339,sydney,-33.8679,151.2073,21.3,81,80,0.89,AU,1699504867
340,santa rosa,14.3122,121.1114,33.99,74,100,5.22,PH,1699505279
341,talcahuano,-36.7167,-73.1167,11.82,87,0,3.09,CL,1699505116
342,salinas,36.6777,-121.6555,12.29,70,0,4.12,US,1699505269
343,praia da vitoria,38.7333,-27.0667,18.75,100,75,5.23,PT,1699505279
344,charters towers,-20.1,146.2667,32.65,29,36,8.05,AU,1699505280
345,kyaikkami,16.08,97.5675,29.17,72,88,0.73,MM,1699505280
346,kotovsk,47.7531,29.532,7.17,83,100,4.86,UA,1699505280
347,antsohihy,-14.8796,47.9875,29.61,58,31,0.47,MG,1699505280
348,hirara,24.8,125.2833,28.92,74,40,4.12,JP,1699505280
349,selfoss,63.9331,-20.9971,2.07,66,1,5.62,IS,1699505281
350,bata,1.8639,9.7658,25.35,88,96,1.84,GQ,1699505281
351,puerto colombia,10.9878,-74.9547,29.05,81,14,8.56,CO,1699505281
352,antequera,37.0194,-4.5612,11.63,52,100,1.71,ES,1699505281
353,mwinilunga,-11.7358,24.4293,18.08,89,100,1.17,ZM,1699505281
354,palmer,42.1584,-72.3287,3.47,61,100,0.0,US,1699504988
355,chivhu,-19.0211,30.8922,16.73,84,69,3.43,ZW,1699505282
356,hiratacho,35.4333,132.8167,23.98,43,20,4.12,JP,1699505282
357,novyy urengoy,66.0833,76.6333,-2.4,89,100,7.95,RU,1699505282
358,asau,46.4333,26.4,4.6,81,98,1.64,RO,1699505282
359,anori,-3.7728,-61.6442,24.27,87,63,1.04,BR,1699505283
360,plettenberg bay,-34.0527,23.3716,15.49,65,0,1.0,ZA,1699505283
361,kolobrzeg,54.1757,15.5834,7.86,82,100,8.2,PL,1699505134
362,arta,39.1606,20.9853,13.8,87,61,1.17,GR,1699505283
363,margaret river,-33.95,115.0667,16.49,53,99,6.38,AU,1699505257
364,luza,60.6308,47.2512,0.99,96,94,1.89,RU,1699505284
